atm_id,zona,capacidad,demanda_media,demanda_desv,costo_visita
ATM-001,periferica,15000000,810000,230000,63000
ATM-002,urbana,25000000,2350000,810000,39000
ATM-003,urbana,25000000,1420000,510000,41000
ATM-004,periferica,25000000,1530000,410000,66000
ATM-005,rural,25000000,1190000,310000,141000
ATM-006,urbana,25000000,2740000,820000,44000
ATM-007,urbana,15000000,1630000,460000,50000
ATM-008,periferica,25000000,2130000,650000,80000
ATM-009,periferica,20000000,1980000,700000,61000
ATM-010,urbana,15000000,1530000,360000,52000
ATM-011,urbana,15000000,1830000,750000,44000
ATM-012,urbana,25000000,1490000,650000,39000
ATM-013,periferica,20000000,1520000,420000,69000
ATM-014,rural,20000000,1080000,380000,166000
ATM-015,periferica,20000000,1090000,250000,69000
ATM-016,urbana,25000000,2660000,930000,42000
ATM-017,periferica,20000000,2010000,740000,66000
ATM-018,urbana,25000000,2020000,570000,52000
ATM-019,urbana,25000000,1400000,630000,46000
ATM-020,periferica,20000000,1980000,500000,79000
ATM-021,urbana,25000000,1120000,340000,47000
ATM-022,rural,25000000,1280000,290000,129000
ATM-023,rural,20000000,1180000,470000,129000
ATM-024,urbana,25000000,1830000,800000,42000
ATM-025,periferica,20000000,1020000,440000,80000
ATM-026,periferica,15000000,1050000,320000,73000
ATM-027,periferica,20000000,1510000,330000,71000
ATM-028,urbana,20000000,1660000,740000,42000
ATM-029,urbana,25000000,2030000,480000,51000
ATM-030,rural,25000000,990000,250000,171000
ATM-031,urbana,20000000,1960000,710000,53000
ATM-032,periferica,20000000,1740000,670000,84000
ATM-033,periferica,15000000,1380000,470000,66000
ATM-034,urbana,15000000,1040000,360000,38000
ATM-035,periferica,10000000,850000,200000,81000
ATM-036,urbana,15000000,1430000,540000,47000
ATM-037,periferica,20000000,2010000,710000,79000
ATM-038,rural,25000000,670000,160000,141000
ATM-039,urbana,25000000,2570000,600000,39000
ATM-040,periferica,20000000,1890000,460000,64000
