generacion,mejor_costo,costo_promedio
1,111874982,142384630
2,107782902,132737982
3,101122876,125764424
4,95469940,116749646
5,87338384,108870355
6,73271630,100655940
7,73271630,91726742
8,66513773,84922242
9,66302451,78590391
10,61654712,73610203
11,59175888,69687626
12,58182707,65938597
13,54548395,62555436
14,51274771,59316342
15,49021462,56759906
16,48566267,53913946
17,48125027,51859137
18,46607312,50267440
19,43848435,48837363
20,43358920,47628048
21,42684958,46256284
22,41470093,44936973
23,41244281,43738434
24,40585951,42795030
25,40378944,41903987
26,39569524,41181251
27,38958162,40691581
28,38848015,40197375
29,38094915,39719694
30,38094915,39369020
31,37802850,39075926
32,37693571,38692150
33,37257924,38360959
34,36693371,38085868
35,36693371,37840212
36,36601862,37662155
37,36592137,37460186
38,36466282,37264195
39,36328511,36988092
40,36074473,36803989
41,36014591,36697089
42,35985558,36554102
43,35870711,36444893
44,35824970,36318575
45,35631430,36247319
46,35631430,36125428
47,35455234,35974559
48,35324535,35894014
49,35242910,35793003
50,35128313,35734978
51,35093511,35590110
52,34991728,35489306
53,34819829,35386095
54,34699149,35327146
55,34622123,35215537
56,34551538,35167395
57,34551538,35086351
58,34551538,34998810
59,34392466,34900384
60,34258947,34835267
61,34258947,34762241
62,34080167,34670628
63,34080167,34608631
64,34080167,34594652
65,34080167,34541718
66,34051213,34507915
67,33888176,34394651
68,33888176,34397311
69,33755412,34307584
70,33755412,34238419
71,33755412,34192979
72,33654754,34145327
73,33654754,34049455
74,33651846,34045241
75,33519038,33986897
76,33519038,33961355
77,33441583,33952381
78,33362554,33842479
79,33362554,33794631
80,33293043,33729582
81,33234094,33682034
82,33199207,33632471
83,33199207,33561772
84,33065011,33550393
85,33065011,33500021
86,33029897,33433269
87,33029897,33431191
88,32946874,33411969
89,32852849,33339571
90,32802614,33299199
91,32802614,33235031
92,32791698,33177312
93,32791698,33187039
94,32748077,33140036
95,32748077,33118859
96,32721239,33060338
97,32556770,33035770
98,32556770,33008668
99,32556770,32972617
100,32556770,32919001
101,32556770,32874448
102,32556770,32845793
103,32546232,32825015
104,32502509,32831418
105,32502509,32764313
106,32502509,32791702
107,32484148,32765071
108,32484148,32746621
109,32466703,32756278
110,32466703,32728397
111,32418790,32728500
112,32358011,32723456
113,32358011,32694511
114,32358011,32663756
115,32313136,32633582
116,32313136,32617461
117,32309406,32615170
118,32300062,32573517
119,32282215,32540187
120,32271788,32537854
121,32271737,32550118
122,32202564,32538678
123,32202564,32514841
124,32202564,32486148
125,32202564,32485891
126,32190310,32443201
127,32190310,32440363
128,32109687,32452588
129,32109687,32439458
130,32109687,32402326
131,32109687,32420170
132,32089693,32397369
133,32089693,32374099
134,32089693,32374475
135,32089693,32373856
136,32089693,32374895
137,32089693,32352386
138,32059942,32345384
139,32034555,32309224
140,32034555,32342761
141,32024465,32318869
142,32023369,32311236
143,32023369,32311314
144,32009971,32309000
145,31977670,32274467
146,31977670,32251383
147,31962812,32226026
148,31962812,32230600
149,31947790,32213037
150,31947790,32191240
151,31947790,32205137
152,31896069,32187350
153,31896069,32175158
154,31891118,32168821
155,31872475,32148940
156,31818336,32124284
157,31808565,32137435
158,31808565,32108616
159,31808565,32094837
160,31783966,32073061
161,31783966,32045766
162,31783966,32022680
163,31696921,32064674
164,31696921,32040263
165,31696921,32036025
166,31696921,31988026
167,31683204,31996373
168,31683204,31978210
169,31683204,31967747
170,31683204,31961500
171,31660084,31935837
172,31656981,31929910
173,31656981,31911361
174,31656981,31906441
175,31642738,31899944
176,31642738,31889786
177,31642738,31867063
178,31620120,31883391
179,31620120,31861655
180,31620120,31868585
181,31620120,31878419
182,31620120,31903056
183,31617878,31916499
184,31617878,31894949
185,31617878,31868730
186,31617878,31844935
187,31606539,31857925
188,31576484,31860457
189,31576484,31824331
190,31563904,31824501
191,31563904,31821847
192,31563904,31801650
193,31563904,31810458
194,31563904,31810781
195,31528515,31820605
196,31528515,31805114
197,31528515,31790975
198,31513295,31785616
199,31513295,31752746
200,31492269,31777297
201,31492269,31781683
202,31492269,31760863
203,31487881,31731482
204,31436941,31738277
205,31436941,31699749
206,31436941,31711275
207,31436941,31707770
208,31436941,31713063
209,31436941,31668971
210,31436941,31680768
211,31436941,31682290
212,31436941,31659212
213,31430191,31675879
214,31430191,31658581
215,31430191,31666665
216,31390865,31643012
217,31390865,31668161
218,31390865,31670667
219,31390865,31683725
220,31390865,31656918
221,31390865,31663361
222,31390865,31643340
223,31390865,31644545
224,31390865,31677872
225,31390865,31639434
226,31385196,31605506
227,31385196,31617314
228,31385196,31614605
229,31359537,31611071
230,31359537,31606681
231,31359537,31590814
232,31359537,31566559
233,31359537,31577961
234,31359537,31561947
235,31351087,31590368
236,31351087,31584022
237,31351087,31575847
238,31351087,31584585
239,31351087,31578861
240,31351087,31560755
241,31351087,31570869
242,31351087,31571440
243,31351087,31562703
244,31351087,31565812
245,31351087,31581666
246,31351087,31600136
247,31351087,31554071
248,31347329,31563339
249,31347329,31568837
250,31347329,31544116
251,31326876,31549490
252,31326876,31540072
253,31322011,31523700
254,31308598,31520564
255,31308598,31523242
256,31303868,31519918
257,31303868,31530194
258,31303868,31537858
259,31303868,31550361
260,31303868,31548595
261,31303868,31538295
262,31303868,31529583
263,31292840,31550610
264,31292840,31541476
265,31292840,31526232
266,31292840,31538191
267,31292840,31514941
268,31283550,31497858
269,31283550,31511211
270,31283550,31498700
271,31283550,31533229
272,31283550,31513160
273,31283550,31509534
274,31283550,31496420
275,31283550,31484947
276,31270853,31474511
277,31270853,31495436
278,31270853,31477921
279,31260058,31458938
280,31260058,31482322
281,31255752,31474504
282,31255752,31486724
283,31255752,31488026
284,31255752,31479678
285,31255752,31475715
286,31241688,31476793
287,31238207,31458255
288,31228246,31455091
289,31228246,31429762
290,31227127,31438880
291,31227127,31425213
292,31220608,31431698
293,31220608,31425490
294,31220608,31416058
295,31220608,31423812
296,31220608,31443648
297,31220608,31444829
298,31217252,31450585
299,31217252,31452976
300,31217252,31455440
