atm_id,zona,capacidad,demanda_media,monto_carga,frecuencia_dias,visitas_periodo,prob_desabasto,costo_total
ATM-001,periferica,15000000,810000,12500000,7,12.9,0.0,910171
ATM-002,urbana,25000000,2350000,21000000,7,12.9,0.0169,714611
ATM-003,urbana,25000000,1420000,21000000,7,12.9,0.0,695430
ATM-004,periferica,25000000,1530000,21000000,7,12.9,0.0,1016859
ATM-005,rural,25000000,1190000,21000000,7,12.9,0.0,1981144
ATM-006,urbana,25000000,2740000,21000000,7,12.9,0.2008,1308149
ATM-007,urbana,15000000,1630000,12500000,7,12.9,0.1852,1227150
ATM-008,periferica,25000000,2130000,21000000,7,12.9,0.0002,1197358
ATM-009,periferica,20000000,1980000,17000000,7,12.9,0.045,1040063
ATM-010,urbana,15000000,1530000,12500000,7,12.9,0.0301,843401
ATM-011,urbana,15000000,1830000,12500000,7,12.9,0.5621,2397001
ATM-012,urbana,25000000,1490000,21000000,7,12.9,0.0,669716
ATM-013,periferica,20000000,1520000,17000000,7,12.9,0.0,1023375
ATM-014,rural,20000000,1080000,17000000,7,12.9,0.0,2270518
ATM-015,periferica,20000000,1090000,17000000,7,12.9,0.0,1023375
ATM-016,urbana,25000000,2660000,21000000,7,12.9,0.1667,1192239
ATM-017,periferica,20000000,2010000,17000000,7,12.9,0.0673,1166481
ATM-018,urbana,25000000,2020000,21000000,7,12.9,0.0,836865
ATM-019,urbana,25000000,1400000,21000000,7,12.9,0.0,759716
ATM-020,periferica,20000000,1980000,17000000,7,12.9,0.0088,1174082
ATM-021,urbana,25000000,1120000,21000000,7,12.9,0.0,772573
ATM-022,rural,25000000,1280000,21000000,7,12.9,0.0,1826859
ATM-023,rural,20000000,1180000,17000000,7,12.9,0.0,1794804
ATM-024,urbana,25000000,1830000,21000000,7,12.9,0.0001,708425
ATM-025,periferica,20000000,1020000,17000000,7,12.9,0.0,1164804
ATM-026,periferica,15000000,1050000,12500000,7,12.9,0.0,1038742
ATM-027,periferica,20000000,1510000,17000000,7,12.9,0.0,1049090
ATM-028,urbana,20000000,1660000,17000000,7,12.9,0.003,683970
ATM-029,urbana,25000000,2030000,21000000,7,12.9,0.0,824002
ATM-030,rural,25000000,990000,21000000,7,12.9,0.0,2366859
ATM-031,urbana,20000000,1960000,17000000,7,12.9,0.0404,924958
ATM-032,periferica,20000000,1740000,17000000,7,12.9,0.0033,1224602
ATM-033,periferica,15000000,1380000,12500000,7,12.9,0.0112,976786
ATM-034,urbana,15000000,1040000,12500000,7,12.9,0.0,588742
ATM-035,periferica,10000000,850000,8500000,7,12.9,0.0,1109546
ATM-036,urbana,15000000,1430000,12500000,7,12.9,0.0407,809189
ATM-037,periferica,20000000,2010000,17000000,7,12.9,0.0594,1311020
ATM-038,rural,25000000,670000,21000000,7,12.9,0.0,1981144
ATM-039,urbana,25000000,2570000,21000000,7,12.9,0.029,744742
ATM-040,periferica,20000000,1890000,17000000,7,12.9,0.001,961494
