atm_id,zona,capacidad,demanda_media,monto_carga,frecuencia_dias,visitas_periodo,prob_desabasto,costo_total
ATM-001,periferica,15000000,810000,14000000,14,6.4,0.001,518399
ATM-002,urbana,25000000,2350000,24500000,8,11.2,0.0064,649970
ATM-003,urbana,25000000,1420000,25000000,14,6.4,0.0036,468615
ATM-004,periferica,25000000,1530000,23500000,13,6.9,0.0073,655202
ATM-005,rural,25000000,1190000,20000000,14,6.4,0.002,1069158
ATM-006,urbana,25000000,2740000,25000000,7,12.9,0.0037,775604
ATM-007,urbana,15000000,1630000,15000000,7,12.9,0.0016,766992
ATM-008,periferica,25000000,2130000,25000000,10,9.0,0.0359,987782
ATM-009,periferica,20000000,1980000,20000000,8,11.2,0.0178,887627
ATM-010,urbana,15000000,1530000,15000000,8,11.2,0.0034,712416
ATM-011,urbana,15000000,1830000,15000000,6,15.0,0.0143,823762
ATM-012,urbana,25000000,1490000,24000000,12,7.5,0.0033,489852
ATM-013,periferica,20000000,1520000,20000000,11,8.2,0.0093,739714
ATM-014,rural,20000000,1080000,18500000,14,6.4,0.0087,1226420
ATM-015,periferica,20000000,1090000,16500000,13,6.9,0.0049,616322
ATM-016,urbana,25000000,2660000,25000000,7,12.9,0.0048,753012
ATM-017,periferica,20000000,2010000,20000000,8,11.2,0.0305,974395
ATM-018,urbana,25000000,2020000,25000000,10,9.0,0.0039,675295
ATM-019,urbana,25000000,1400000,25000000,14,6.4,0.011,510765
ATM-020,periferica,20000000,1980000,20000000,8,11.2,0.0016,1052591
ATM-021,urbana,25000000,1120000,19500000,14,6.4,0.0013,460066
ATM-022,rural,25000000,1280000,21500000,14,6.4,0.0005,1002172
ATM-023,rural,20000000,1180000,20000000,14,6.4,0.0239,1020787
ATM-024,urbana,25000000,1830000,25000000,10,9.0,0.004,585892
ATM-025,periferica,20000000,1020000,19000000,14,6.4,0.0021,669168
ATM-026,periferica,15000000,1050000,15000000,12,7.5,0.0152,689783
ATM-027,periferica,20000000,1510000,20000000,11,8.2,0.001,742705
ATM-028,urbana,20000000,1660000,20000000,9,10.0,0.0113,603681
ATM-029,urbana,25000000,2030000,24500000,10,9.0,0.0028,660324
ATM-030,rural,25000000,990000,16500000,14,6.4,0.0024,1234419
ATM-031,urbana,20000000,1960000,20000000,8,11.2,0.0157,792813
ATM-032,periferica,20000000,1740000,20000000,9,10.0,0.0154,1031883
ATM-033,periferica,15000000,1380000,15000000,9,10.0,0.0336,847292
ATM-034,urbana,15000000,1040000,15000000,11,8.2,0.0014,433365
ATM-035,periferica,10000000,850000,10000000,10,9.0,0.0089,824068
ATM-036,urbana,15000000,1430000,15000000,8,11.2,0.0099,670975
ATM-037,periferica,20000000,2010000,20000000,8,11.2,0.0255,1108225
ATM-038,rural,25000000,670000,12500000,14,6.4,0.0,1006599
ATM-039,urbana,25000000,2570000,25000000,8,11.2,0.0044,649021
ATM-040,periferica,20000000,1890000,20000000,9,10.0,0.0151,830102
